brand_name,model_new,variant_name,seller_type_new,fuel_type,transmission_type_new,owner_type,body_type_new,Drive Type,model_year,km_driven,pu,mileage_new,Displacement,Max Power,Max Torque,seating_capacity_new,Length,Width,Height,Color
Mahindra,Mahindra Scorpio-N,Mahindra Scorpio-N Z2,dealer,diesel,manual,first,suv,fwd,2023,17483,"2,405,871",19.74 kmpl,2198 cc,172.45 bhp,400 Nm,7,4662,1917,1857,White
Hyundai,Hyundai Creta,Hyundai Creta E,dealer,petrol,manual,first,suv,fwd,2024,4723,"1,463,124",18.93 kmpl,1497 cc,113.18 bhp,143.8 Nm,5,4330,1790,1635,Blue
Mahindra,Mahindra Scorpio-N,Mahindra Scorpio-N Z2,dealer,diesel,manual,first,suv,fwd,2024,6295,"2,523,713",20.31 kmpl,2198 cc,172.45 bhp,400 Nm,7,4662,1917,1857,Silver
Mahindra,Mahindra XUV700,Mahindra XUV700 MX,dealer,petrol,automatic,first,suv,fwd,2024,8046,"2,360,268",15.65 kmpl,1997 cc,197.13 bhp,380 Nm,7,4695,1890,1755,White
Maruti,Maruti Brezza,Maruti Brezza LXi,individual,petrol,automatic,first,suv,fwd,2024,4531,"1,260,620",21.81 kmpl,1462 cc,101.65 bhp,136.8 Nm,5,3995,1790,1685,Black
Tata,Tata Nexon,Tata Nexon Pure,dealer,petrol,automatic,first,suv,fwd,2024,4531,"1,113,845",19.93 kmpl,1198 cc,118.27 bhp,170 Nm,5,3993,1811,1606,White
Mahindra,Mahindra Scorpio-N,Mahindra Scorpio-N Z2,dealer,diesel,manual,first,suv,fwd,2023,22896,"2,198,329",17.66 kmpl,2198 cc,172.45 bhp,400 Nm,7,4662,1917,1857,Grey
Tata,Tata Safari,Tata Safari Smart,dealer,diesel,automatic,first,suv,fwd,2023,18837,"1,761,355",19.26 kmpl,1956 cc,167.62 bhp,350 Nm,7,4668,1922,1795,Blue
Maruti,Maruti Fronx,Maruti Fronx Alpha,individual,petrol,automatic,first,suv,fwd,2023,12652,"870,982",16.54 kmpl,1197 cc,88.50 bhp,113 Nm,5,3995,1765,1550,White
Maruti,Maruti Fronx,Maruti Fronx Alpha,dealer,petrol,manual,first,suv,fwd,2024,6085,"1,058,356",21.13 kmpl,1197 cc,88.50 bhp,113 Nm,5,3995,1765,1550,Grey
Maruti,Maruti Fronx,Maruti Fronx Delta+,individual,petrol,manual,first,suv,fwd,2024,4073,"976,678",15.98 kmpl,1197 cc,88.50 bhp,113 Nm,5,3995,1765,1550,Blue
